Channel	Created At	Product	Issue	Sub Type	Handled
Inapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Inapp	2026-02-27	PM	DNR	Further steps	Human
Inapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Inapp	2026-02-27	4G Mini	App Navigation	Motion Recording	Human
Webapp	2026-02-27	RV Mini Cam	Connection		Human
Webapp	2026-02-27	NA	No reason		Human
Inapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Inapp	2026-02-27	PM	DNR		Human
Webapp	2026-02-27				Bot
Webapp	2026-02-27	PM	DNR		Human
Webapp	2026-02-27	PM	Subs Activation	Combo Plan	Human
Webapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Inapp	2026-02-27	PM	Subs Activation	Trial Plan	Human
Inapp	2026-02-27	PM	Charging Query	LED blinking	Human
Inapp	2026-02-27	4G Mini	Subs Activation	DIscount Code Request	Human
Webapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Webapp	2026-02-27				Bot
Inapp	2026-02-27				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28	Waggel Insurance	No reason		Human
Inapp	2026-02-28	RV Mini Cam	Subs Cancellation	Steps	Human
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28	4G Mini	App Navigation	Add Phone No	Human
Inapp	2026-02-28	PM	Registration Issue	Replacment Device	Human
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28	4G Mini	Login		Human
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28	PM	DNR		Human
Inapp	2026-02-28				Bot
Webapp	2026-02-28	4G Mini	Registration Issue		Human
Inapp	2026-02-28	4G Mini	App Navigation	Remove Device	Human
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28	4G Mini	Registration Issue		Human
Inapp	2026-02-28				Bot
Inapp	2026-02-28	PM	Device Removal		Human
Webapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot
Inapp	2026-02-28				Bot